LATITUDE, LONGITUDE,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18
40.16746,-122.29678,11.60400,12.96700,11.69500,11.99400,11.54500,11.43600,11.27700,11.79900,12.60100,12.54600,12.10400,13.39600,14.81300,14.30900,14.19400,13.23200,14.19000,13.55300,14.25700
40.21981,-121.91291,14.50600,14.67900,13.90800,13.24400,12.48200,12.44100,12.81200,14.97200,12.83900,14.05600,14.57800,14.37400,15.22600,15.40700,16.40000,15.60500,15.50100,14.33800,15.14000
40.17722,-122.11727,14.97700,13.90400,13.94000,13.52700,13.02200,12.14500,12.08800,12.64100,12.82200,14.33000,14.10400,14.42100,15.01100,14.93200,14.72500,15.96300,13.59000,13.82200,14.30700
40.15580,-122.21936,13.39500,12.99800,12.34500,12.41900,12.63200,11.83900,11.76900,12.40100,12.43800,12.91400,13.30400,12.85400,14.21100,14.66900,13.72000,14.16900,14.48300,13.31600,14.05100
40.14864,-122.25338,12.15800,12.64800,12.07000,11.32700,12.18200,11.58300,11.45000,12.01300,12.00600,12.71700,12.66100,12.63500,14.07400,14.39100,12.98600,13.51300,14.29100,13.28400,13.99400
40.14147,-122.28739,11.37900,12.75300,11.47000,11.98800,11.50000,11.39200,11.44600,11.96200,12.06500,12.48600,12.37300,13.24000,14.24900,13.92200,13.34800,13.35800,14.22800,13.46600,14.08200
40.18671,-121.93772,14.89900,15.11000,14.52400,14.05300,14.62800,13.53800,14.32900,14.49900,13.58400,14.91900,14.74800,15.16800,16.20100,15.83200,16.59500,16.17500,15.89400,15.01300,14.91100
40.15121,-122.10795,14.61400,13.61100,13.56500,13.33300,12.75300,11.92000,11.92500,12.70400,12.80900,14.21400,13.75200,14.34000,15.20500,14.77700,14.47500,15.88800,13.44100,13.62800,14.14400
40.12980,-122.21000,13.94500,12.82200,12.27700,12.47500,12.46400,11.66400,11.77500,12.25100,12.36900,13.06400,13.25000,13.20400,14.57400,14.78800,14.15700,14.61900,14.06500,13.16600,14.11900
40.12264,-122.24401,12.94500,12.55300,12.07000,11.60000,12.08900,11.47600,11.47500,12.03800,12.00600,12.93000,12.87300,12.59100,14.14900,14.52200,12.97300,14.08200,14.72200,13.12900,13.92600
40.11547,-122.27800,11.60800,12.51600,11.45800,11.91900,11.45600,11.27400,11.35200,12.00100,11.88800,12.58600,12.46700,12.44100,14.67000,13.97800,13.25700,13.65700,14.48400,13.30900,13.99400
40.12520,-122.09863,14.03900,13.29800,13.32700,13.26500,12.56800,11.75100,11.81300,12.70400,12.44000,14.06100,13.42300,14.06500,14.92600,14.42700,14.06700,15.21300,13.19700,13.29700,13.61300
40.08947,-122.26863,12.50200,12.27200,11.44500,11.64200,11.35600,11.16100,11.18400,11.88200,11.65000,12.79200,12.56500,12.27900,14.17400,14.23700,13.63200,14.16900,14.12800,13.04700,13.80100
40.13467,-121.91921,13.66500,13.85500,13.38600,13.22100,12.13200,12.36900,12.69100,13.05700,13.37800,14.87500,13.27100,13.80500,14.77400,14.85100,15.53000,14.93100,15.26200,14.03200,13.82400
40.10631,-122.05531,13.95300,13.46600,13.99200,13.62100,13.51900,11.84500,11.86900,12.47600,11.97200,13.47400,13.19600,13.79600,13.50600,14.36100,14.45500,15.09200,12.69500,13.40300,13.26300
40.09919,-122.08932,13.69500,13.04800,13.32700,13.32100,12.27300,11.70700,11.80700,12.92000,12.07200,13.41700,13.08500,13.86500,14.12400,14.21500,14.27300,15.12500,12.91400,13.03400,13.38200
40.06347,-122.25926,12.95100,12.04100,11.59500,11.52500,11.14400,11.11100,11.18000,11.64500,11.23800,12.93000,12.55700,12.47300,14.59500,14.05600,13.73200,14.23200,13.70000,12.85100,13.56300
40.05630,-122.29323,11.89500,12.05900,11.48900,11.15300,10.79400,11.08600,11.24100,11.79900,11.35100,12.49800,12.19200,11.99100,14.52000,13.56900,13.80100,14.04400,13.90200,12.93800,13.59400
40.10864,-121.90997,13.38400,13.36100,13.47100,13.05200,11.93200,11.80600,12.15300,12.50200,13.05900,14.67000,12.46500,13.26800,13.98400,14.42100,14.23500,14.75600,16.02200,13.55900,13.29400
40.08029,-122.04602,13.97700,13.44700,14.09900,13.67700,12.76700,11.91400,11.95700,12.42600,11.78600,13.29200,12.80300,13.73400,13.21200,14.28700,14.61700,14.84900,12.66400,13.27200,13.16900
40.07318,-122.08002,13.72800,13.01600,13.66700,13.27700,12.43400,11.72000,11.89400,12.40200,11.82200,12.79400,12.71300,13.73400,13.43700,14.07800,14.37900,14.86300,12.66400,12.89700,13.15700
40.03748,-122.24990,12.85800,11.68400,11.29500,11.36500,11.20700,11.21100,11.22400,11.39500,10.75600,12.72100,12.46300,12.95400,14.71300,13.87500,13.48800,14.00000,12.94400,12.76300,13.33300
40.03031,-122.28385,12.41400,11.71600,11.25200,11.17200,10.92600,11.17400,11.17200,11.43900,10.87600,12.21900,12.29200,12.09100,14.63200,13.34200,13.72600,13.54400,13.32700,12.78800,12.92700
40.08262,-121.90073,13.35900,13.17400,13.80800,13.05200,12.00100,11.94400,12.23900,12.32700,12.94600,14.37200,11.93700,13.13000,13.91000,14.34300,14.42900,14.85000,16.30100,13.45300,13.01900
40.05428,-122.03674,13.82700,13.35700,14.14200,13.55800,12.58400,11.83200,11.87300,12.27600,11.66800,12.70800,12.47500,13.72800,13.03100,14.43100,14.66600,14.72500,12.63900,13.09100,12.86300
40.04717,-122.07072,13.80900,13.14700,13.85000,13.21500,12.27200,11.59500,11.87500,11.98900,11.58400,12.55000,12.50700,13.66500,12.96800,14.01200,14.42300,14.71700,12.43200,12.76600,13.04400
40.04005,-122.10470,13.33400,11.87900,12.67700,12.71500,11.94700,11.39800,11.56300,11.52600,11.41900,12.46200,12.42300,13.37800,13.53900,13.54900,13.68400,14.63800,12.63200,12.45300,13.06300
40.03292,-122.13867,13.00200,11.61900,12.27100,12.20800,11.66400,11.57500,11.14900,11.28200,10.85000,12.36700,12.56600,13.69300,13.58300,13.73400,12.78100,14.23800,12.98200,12.43400,13.15100
40.00431,-122.27449,12.16400,11.36100,11.01400,11.06000,11.03800,11.27400,11.20400,11.05000,10.52800,12.27500,12.26300,12.45400,14.24300,13.15600,13.70700,13.22500,12.80600,12.76300,12.30200
40.05659,-121.89149,13.83800,13.23000,14.16200,13.28300,12.34500,12.75000,12.79900,12.52700,13.19000,14.11900,12.15000,13.43700,14.25300,14.96700,14.94100,15.11900,16.34100,13.84700,13.23200
40.03536,-121.99348,12.96500,13.07200,14.07400,13.47100,12.47600,11.67500,10.94800,12.03200,11.68400,12.98900,12.15900,13.53700,14.17200,14.40000,14.60400,14.53100,14.33700,13.27900,12.86300
40.02826,-122.02746,13.52100,12.93800,14.00500,13.30800,12.42800,11.72600,10.98700,11.97000,11.54300,12.52100,12.17500,13.65500,12.97800,13.90300,14.54800,14.38100,13.10600,12.87300,12.68200
40.02115,-122.06143,13.71500,13.04400,13.68200,13.02700,12.12800,11.45100,11.73500,11.83200,11.40900,12.30600,12.23800,13.59900,12.89300,13.82800,14.46100,14.44400,12.32000,12.52800,12.88200
40.01404,-122.09540,13.46500,11.81900,12.83600,12.58300,11.78400,11.48600,11.36600,11.30700,11.29400,12.27500,12.33400,13.42100,12.89500,13.64900,13.55300,14.23100,12.36400,12.35900,12.93800
40.00691,-122.12936,12.92800,11.81200,12.20200,12.08300,11.49500,11.28800,11.01700,10.83000,10.72500,12.26700,12.27300,13.56800,12.67600,13.29300,11.87900,13.78100,12.43900,12.22200,12.89400
39.97831,-122.26513,11.99500,11.25600,11.21700,11.03000,11.08200,11.37400,11.17100,10.97000,10.40900,11.75000,12.16900,13.46600,14.39900,13.08100,12.74200,12.95700,12.66200,12.68200,11.83900
40.17672,-121.16693,12.88000,12.47900,15.30300,11.73500,12.25900,12.65400,12.68000,11.93300,15.17800,14.58500,14.90500,14.26600,15.40800,15.07400,16.69400,14.97900,14.18900,13.62900,12.76300
40.16986,-121.20106,10.31100,10.71000,11.68600,10.33600,12.17900,12.37300,12.61300,12.18500,12.29500,12.63100,15.53000,14.24600,13.81300,15.04600,15.73200,14.92900,14.17000,13.35300,12.41100
40.03056,-121.88227,13.64400,13.34100,14.07100,13.30900,12.43900,13.21300,12.67400,12.93500,13.40300,13.82700,13.61700,13.36200,14.71000,15.19200,15.04800,14.95600,16.33200,14.28500,13.24400
40.00934,-121.98422,12.32800,13.00300,13.97600,13.45300,12.52600,11.81900,11.40500,11.94500,11.50500,13.36400,12.04000,13.42400,13.97200,14.04600,14.44200,14.51300,13.85600,13.06600,12.61900
39.99514,-122.05215,13.45300,12.80100,13.44400,12.82700,11.96600,11.34600,11.43400,11.62600,11.28000,12.11200,12.01900,13.36200,12.86800,13.59700,14.27500,13.80600,12.32600,12.39100,12.73200
