lon,lat
-121.8059,39.7111
-121.7721,39.7182
-121.7382,39.7252
-121.7044,39.7322
-121.6705,39.7392
-121.6366,39.7462
-121.6027,39.7532
-121.4671,39.7810
-122.2885,39.6376
-122.2547,39.6448
-121.9167,39.7160
-121.8490,39.7301
-121.7812,39.7442
-121.6796,39.7653
-121.6118,39.7792
-121.5779,39.7862
-121.4762,39.8071
-121.4423,39.8141
-121.4083,39.8210
-122.2640,39.6708
-121.8920,39.7491
-121.8581,39.7561
-121.8243,39.7632
-121.7904,39.7702
-121.7565,39.7773
-121.6548,39.7983
-121.6209,39.8053
-121.4173,39.8471
-121.3834,39.8540
-122.2733,39.6968
-122.2057,39.7111
-122.1719,39.7183
-122.0028,39.7539
-121.9689,39.7610
-121.9351,39.7680
-121.9012,39.7751
-121.8673,39.7822
-121.8334,39.7892
-121.7995,39.7963
-121.7657,39.8033
-121.6300,39.8313
-121.3924,39.8800
-121.3584,39.8870
-122.2826,39.7228
-122.2488,39.7300
-122.1812,39.7443
-122.1135,39.7585
-122.0797,39.7657
-122.0459,39.7728
-121.9104,39.8011
-121.8426,39.8153
-121.6391,39.8574
-121.6052,39.8644
-121.3675,39.9130
-121.3335,39.9199
-121.2995,39.9268
-122.2582,39.7560
-122.1905,39.7703
-122.1567,39.7774
-122.1228,39.7846
-122.0890,39.7917
-122.0551,39.7988
-121.8518,39.8413
-121.8179,39.8483
-121.6143,39.8904
-121.5803,39.8974
-121.3085,39.9529
-121.2744,39.9598
-122.2675,39.7820
-122.1998,39.7963
-122.1659,39.8034
-122.0982,39.8177
-121.8610,39.8673
-121.8271,39.8744
-121.7931,39.8814
-121.2834,39.9859
-121.2494,39.9928
-121.2154,39.9996
-122.2768,39.8080
-122.1075,39.8437
-122.0736,39.8508
-121.8702,39.8934
-121.8363,39.9004
-121.2584,40.0188
-121.2243,40.0257
-122.2862,39.8340
-122.2523,39.8411
-122.1168,39.8697
-122.0829,39.8768
-121.9133,39.9123
-121.8794,39.9194
-121.8454,39.9264
-121.2333,40.0518
-121.1992,40.0587
-121.1652,40.0655
-122.2616,39.8671
-122.0922,39.9029
-121.9225,39.9383
-121.8546,39.9525
-121.1400,40.0985
-122.2710,39.8931
-122.1015,39.9289
-122.0336,39.9431
-121.9657,39.9573
-121.9318,39.9644
-121.8638,39.9785
-121.1490,40.1246
-122.2803,39.9191
-122.1107,39.9549
-122.0429,39.9691
-121.9750,39.9833
-121.1921,40.1438
-121.1580,40.1506
-122.2897,39.9451
-122.2558,39.9523
-122.1201,39.9809
-122.0861,39.9880
-122.0521,39.9951
-121.9842,40.0093
-121.8823,40.0306
-121.2011,40.1699
-121.1669,40.1767
-122.2651,39.9783
-122.1294,40.0069
-122.0954,40.0140
-122.0614,40.0211
-122.0275,40.0283
-121.9935,40.0354
-121.8915,40.0566
-122.2745,40.0043
-122.1387,40.0329
-122.1047,40.0401
-122.0707,40.0472
-122.0367,40.0543
-121.9007,40.0826
-122.2839,40.0303
-122.2499,40.0375
-122.0800,40.0732
-122.0460,40.0803
-121.9100,40.1086
-122.2932,40.0563
-122.2593,40.0635
-122.0893,40.0992
-122.0553,40.1063
-121.9192,40.1347
-122.2686,40.0895
-122.0986,40.1252
-122.2780,40.1155
-122.2440,40.1226
-122.2100,40.1298
-122.1080,40.1512
-121.9377,40.1867
-122.2874,40.1415
-122.2534,40.1486
-122.2194,40.1558
-122.1173,40.1772
-121.9129,40.2198
-122.2968,40.1675
-122.2628,40.1746
-122.1266,40.2032
-121.9222,40.2458
-122.3062,40.1934
-122.2721,40.2006
-122.1700,40.2221
-122.1359,40.2292
-122.2815,40.2266
-122.1794,40.2481
-122.1453,40.2552
-121.9407,40.2979
-122.2569,40.2598
-122.1887,40.2741
-122.1546,40.2812
-122.2663,40.2858
-122.1981,40.3001
-121.9251,40.3570
-122.2757,40.3118
-122.2075,40.3261
-121.9344,40.3830
-122.2851,40.3378
-122.2510,40.3449
-122.2169,40.3521
-121.9437,40.4090
-122.2604,40.3709
-122.2262,40.3781
-121.9530,40.4350
-122.3039,40.3898
-122.2698,40.3969
-122.2792,40.4229
-122.2451,40.4301
-122.2109,40.4372
-121.9374,40.4942
-122.2886,40.4489
-122.2203,40.4633
-121.9467,40.5202
-122.2981,40.4749
-122.1955,40.4964
-122.1613,40.5035
-121.9560,40.5462
-122.2049,40.5224
-122.1707,40.5295
-122.1365,40.5367
